batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style,venue
0,52,21,20,0,105.0,0.0,1,6,2
0,52,21,20,0,105.0,0.0,1,6,4
0,52,21,20,0,105.0,0.0,1,6,9
0,55,43,25,1,172.0,4.0,1,10,0
0,55,43,25,1,172.0,4.0,1,10,2
0,70,28,28,1,100.0,3.57,1,8,2
0,70,28,28,1,100.0,3.57,1,8,13
0,70,28,28,1,100.0,3.57,1,8,19
0,75,30,31,3,96.77,9.68,1,11,2
0,75,30,31,3,96.77,9.68,1,11,7
0,75,30,31,3,96.77,9.68,1,11,13
0,81,38,20,0,190.0,0.0,1,3,4
0,81,38,20,0,190.0,0.0,1,3,16
0,84,23,22,2,104.55,9.09,1,10,10
0,84,23,22,2,104.55,9.09,1,10,17
1,10,62,28,0,221.43,0.0,1,9,3
1,10,62,28,0,221.43,0.0,1,9,7
1,10,62,28,0,221.43,0.0,1,9,13
1,67,30,22,0,136.36,0.0,1,4,7
1,67,30,22,0,136.36,0.0,1,4,19
1,67,30,22,0,136.36,0.0,1,4,20
1,68,21,26,0,80.77,0.0,1,8,7
1,68,21,26,0,80.77,0.0,1,8,15
1,68,21,26,0,80.77,0.0,1,8,19
1,81,41,25,0,164.0,0.0,1,3,3
1,81,41,25,0,164.0,0.0,1,3,7
1,81,41,25,0,164.0,0.0,1,3,10
1,81,41,25,0,164.0,0.0,1,3,13
1,81,41,25,0,164.0,0.0,1,3,16
2,8,29,24,2,120.83,8.33,1,3,2
2,8,29,24,2,120.83,8.33,1,3,4
2,8,29,24,2,120.83,8.33,1,3,8
2,8,29,24,2,120.83,8.33,1,3,11
2,8,29,24,2,120.83,8.33,1,3,16
2,15,75,48,2,156.25,4.17,1,8,3
2,15,75,48,2,156.25,4.17,1,8,6
2,15,75,48,2,156.25,4.17,1,8,7
2,15,75,48,2,156.25,4.17,1,8,13
2,15,75,48,2,156.25,4.17,1,8,16
2,17,24,20,0,120.0,0.0,1,9,2
2,17,24,20,0,120.0,0.0,1,9,6
2,17,24,20,0,120.0,0.0,1,9,10
2,17,24,20,0,120.0,0.0,1,9,16
2,17,24,20,0,120.0,0.0,1,9,19
2,20,26,20,1,130.0,5.0,1,10,2
2,20,26,20,1,130.0,5.0,1,10,4
2,20,26,20,1,130.0,5.0,1,10,16
2,38,32,21,1,152.38,4.76,1,0,0
2,38,32,21,1,152.38,4.76,1,0,3
2,38,32,21,1,152.38,4.76,1,0,16
2,39,41,25,1,164.0,4.0,1,6,2
2,39,41,25,1,164.0,4.0,1,6,4
2,39,41,25,1,164.0,4.0,1,6,9
2,39,41,25,1,164.0,4.0,1,6,19
2,45,43,32,1,134.38,3.12,1,11,10
2,45,43,32,1,134.38,3.12,1,11,16
2,45,43,32,1,134.38,3.12,1,11,17
2,46,26,20,0,130.0,0.0,1,1,2
2,46,26,20,0,130.0,0.0,1,1,5
2,46,26,20,0,130.0,0.0,1,1,10
2,52,43,30,0,143.33,0.0,1,6,2
2,52,43,30,0,143.33,0.0,1,6,14
2,52,43,30,0,143.33,0.0,1,6,16
2,52,43,30,0,143.33,0.0,1,6,18
2,52,43,30,0,143.33,0.0,1,6,19
2,67,27,24,0,112.5,0.0,1,4,10
2,67,27,24,0,112.5,0.0,1,4,13
2,67,27,24,0,112.5,0.0,1,4,16
2,68,24,24,1,100.0,4.17,1,8,4
2,68,24,24,1,100.0,4.17,1,8,16
2,68,24,24,1,100.0,4.17,1,8,20
2,70,27,25,0,108.0,0.0,1,8,2
2,70,27,25,0,108.0,0.0,1,8,14
2,70,27,25,0,108.0,0.0,1,8,18
2,70,27,25,0,108.0,0.0,1,8,19
2,75,47,54,1,87.04,1.85,1,11,3
2,75,47,54,1,87.04,1.85,1,11,6
2,75,47,54,1,87.04,1.85,1,11,7
2,75,47,54,1,87.04,1.85,1,11,10
2,75,47,54,1,87.04,1.85,1,11,13
2,75,47,54,1,87.04,1.85,1,11,16
2,92,18,20,1,90.0,5.0,1,2,9
2,92,18,20,1,90.0,5.0,1,2,14
2,92,18,20,1,90.0,5.0,1,2,16
2,92,18,20,1,90.0,5.0,1,2,19
3,10,15,22,1,68.18,4.55,1,9,10
3,10,15,22,1,68.18,4.55,1,9,13
3,10,15,22,1,68.18,4.55,1,9,16
3,65,23,24,2,95.83,8.33,1,11,7
3,65,23,24,2,95.83,8.33,1,11,10
3,65,23,24,2,95.83,8.33,1,11,17
3,80,29,20,0,145.0,0.0,1,8,7
4,9,25,23,0,108.7,0.0,0,6,2
4,9,25,23,0,108.7,0.0,0,6,17
4,15,12,25,1,48.0,4.0,0,8,0
4,15,12,25,1,48.0,4.0,0,8,5
4,15,12,25,1,48.0,4.0,0,8,7
4,29,32,21,1,152.38,4.76,0,6,0
4,29,32,21,1,152.38,4.76,0,6,3
4,29,32,21,1,152.38,4.76,0,6,19
4,59,36,23,2,156.52,8.7,0,5,0
4,59,36,23,2,156.52,8.7,0,5,10
