Batter,Bowler,Balls Faced,Runs Scored (Batter),Total Runs (Incl. Extras),Wickets Taken,Strike Rate,Dismissal Rate
A Badoni,A Zampa,3,2,2,1,66.66666666666666,33.33333333333333
A Badoni,AD Russell,15,22,24,0,146.66666666666666,0.0
A Badoni,AR Patel,10,11,11,0,110.0,0.0
A Badoni,AS Joseph,4,5,5,0,125.0,0.0
A Badoni,Akash Madhwal,4,0,0,1,0.0,25.0
A Badoni,Arshdeep Singh,14,13,16,1,92.85714285714286,7.142857142857142
A Badoni,Ashwani Kumar,2,4,4,1,200.0,50.0
A Badoni,Avesh Khan,2,2,3,0,100.0,0.0
A Badoni,Azmatullah Omarzai,14,21,24,0,150.0,0.0
A Badoni,B Kumar,4,4,4,0,100.0,0.0
A Badoni,C Bosch,6,6,6,0,100.0,0.0
A Badoni,C Sakariya,5,13,14,1,260.0,20.0
A Badoni,CV Varun,16,18,18,0,112.5,0.0
A Badoni,DG Nalkande,1,2,2,0,200.0,0.0
A Badoni,DJ Bravo,5,5,6,0,100.0,0.0
A Badoni,DJ Willey,5,6,7,0,120.0,0.0
A Badoni,DL Chahar,10,27,27,0,270.0,0.0
A Badoni,E Malinga,2,0,0,1,0.0,50.0
A Badoni,G Coetzee,5,5,9,0,100.0,0.0
A Badoni,GJ Maxwell,6,5,5,0,83.33333333333334,0.0
A Badoni,Gurnoor Brar,5,11,13,0,220.00000000000003,0.0
A Badoni,HH Pandya,15,20,21,1,133.33333333333331,6.666666666666667
A Badoni,HV Patel,6,5,5,0,83.33333333333334,0.0
A Badoni,Harpreet Brar,3,2,2,0,66.66666666666666,0.0
A Badoni,Harshit Rana,7,7,7,0,100.0,0.0
A Badoni,I Sharma,11,10,12,0,90.9090909090909,0.0
A Badoni,J Overton,5,13,13,0,260.0,0.0
A Badoni,JD Unadkat,6,4,4,0,66.66666666666666,0.0
A Badoni,JJ Bumrah,5,3,3,0,60.0,0.0
A Badoni,JO Holder,1,0,1,0,0.0,0.0
A Badoni,JR Hazlewood,9,3,3,2,33.33333333333333,22.22222222222222
A Badoni,K Rabada,8,8,8,1,100.0,12.5
A Badoni,KK Ahmed,6,12,13,0,200.0,0.0
A Badoni,KR Sen,2,2,2,0,100.0,0.0
A Badoni,KV Sharma,12,28,30,0,233.33333333333331,0.0
A Badoni,Kuldeep Yadav,14,13,13,1,92.85714285714286,7.142857142857142
A Badoni,LH Ferguson,15,23,24,0,153.33333333333334,0.0
A Badoni,LS Livingstone,2,6,6,1,300.0,50.0
A Badoni,M Jansen,14,16,17,0,114.28571428571428,0.0
A Badoni,M Pathirana,14,10,18,0,71.42857142857143,0.0
A Badoni,M Prasidh Krishna,6,2,4,0,33.33333333333333,0.0
A Badoni,M Theekshana,18,35,35,0,194.44444444444443,0.0
A Badoni,MA Starc,6,7,7,0,116.66666666666669,0.0
A Badoni,MJ Santner,8,15,15,0,187.5,0.0
A Badoni,MM Ali,8,6,7,0,75.0,0.0
A Badoni,MM Sharma,13,23,24,1,176.9230769230769,7.6923076923076925
A Badoni,MP Stoinis,8,4,5,0,50.0,0.0
A Badoni,Mohammed Shami,11,16,17,0,145.45454545454547,0.0
A Badoni,Mohammed Siraj,20,21,23,0,105.0,0.0
A Badoni,Mukesh Choudhary,5,7,9,0,140.0,0.0
A Badoni,Mukesh Kumar,25,43,44,1,172.0,4.0
A Badoni,N Burger,1,0,0,1,0.0,100.0
A Badoni,N Thushara,3,4,4,0,133.33333333333331,0.0
A Badoni,Noor Ahmad,6,7,7,0,116.66666666666669,0.0
A Badoni,PJ Cummins,7,10,10,0,142.85714285714286,0.0
A Badoni,PP Chawla,4,2,2,0,50.0,0.0
A Badoni,PVD Chameera,4,8,8,0,200.0,0.0
A Badoni,PWH de Silva,13,14,15,0,107.6923076923077,0.0
A Badoni,R Ashwin,9,11,16,0,122.22222222222224,0.0
A Badoni,R Sai Kishore,4,11,11,1,275.0,25.0
A Badoni,R Shepherd,15,29,32,1,193.33333333333331,6.666666666666667
A Badoni,RA Jadeja,10,9,9,1,90.0,10.0
A Badoni,RD Chahar,9,12,12,0,133.33333333333331,0.0
A Badoni,RJW Topley,2,0,0,0,0.0,0.0
A Badoni,RP Meredith,4,9,9,1,225.0,25.0
A Badoni,RS Hangargekar,3,5,5,0,166.66666666666669,0.0
A Badoni,Rashid Khan,28,28,29,1,100.0,3.571428571428571
A Badoni,S Dube,4,7,9,0,175.0,0.0
A Badoni,SH Johnson,3,5,6,0,166.66666666666669,0.0
A Badoni,SM Curran,15,18,19,1,120.0,6.666666666666667
A Badoni,SN Thakur,3,10,10,0,333.33333333333337,0.0
A Badoni,Sandeep Sharma,12,21,21,0,175.0,0.0
A Badoni,Shivam Mavi,1,1,1,0,100.0,0.0
A Badoni,Simarjeet Singh,2,4,4,0,200.0,0.0
A Badoni,Suyash Sharma,1,1,1,0,100.0,0.0
A Badoni,T Natarajan,20,38,40,0,190.0,0.0
A Badoni,T Stubbs,3,2,2,1,66.66666666666666,33.33333333333333
A Badoni,TG Southee,6,3,3,1,50.0,16.666666666666664
A Badoni,TU Deshpande,22,23,26,2,104.54545454545456,9.090909090909092
A Badoni,V Puthur,4,5,5,0,125.0,0.0
A Badoni,V Viyaskanth,2,5,5,0,250.0,0.0
A Badoni,VG Arora,2,2,2,0,100.0,0.0
A Badoni,VR Aaron,3,2,2,1,66.66666666666666,33.33333333333333
A Badoni,Vijaykumar Vyshak,13,38,38,0,292.30769230769226,0.0
A Badoni,WD Parnell,7,7,9,1,100.0,14.285714285714285
A Badoni,WG Jacks,3,3,3,0,100.0,0.0
A Badoni,Washington Sundar,7,9,9,0,128.57142857142858,0.0
A Badoni,YS Chahal,18,17,18,2,94.44444444444444,11.11111111111111
A Badoni,Yash Dayal,1,0,0,1,0.0,100.0
A Kamboj,AD Russell,1,4,4,0,400.0,0.0
A Kamboj,Akash Madhwal,3,5,5,0,166.66666666666669,0.0
A Kamboj,HV Patel,3,2,2,0,66.66666666666666,0.0
A Kamboj,Harshit Rana,2,2,2,0,100.0,0.0
A Kamboj,PJ Cummins,1,0,0,1,0.0,100.0
A Kamboj,VG Arora,4,3,4,0,75.0,0.0
A Kamboj,YS Chahal,1,0,0,1,0.0,100.0
A Manohar,A Mishra,3,1,1,1,33.33333333333333,33.33333333333333
A Manohar,A Nortje,3,2,3,0,66.66666666666666,0.0
A Manohar,A Zampa,4,7,7,1,175.0,25.0
A Manohar,AD Russell,1,0,0,1,0.0,100.0
A Manohar,AR Patel,13,12,13,0,92.3076923076923,0.0
A Manohar,Avesh Khan,4,10,10,0,250.0,0.0
A Manohar,B Kumar,11,16,16,1,145.45454545454547,9.090909090909092
A Manohar,C Green,3,13,13,0,433.3333333333333,0.0
A Manohar,DS Rathi,2,1,1,0,50.0,0.0
A Manohar,HH Pandya,7,13,13,0,185.7142857142857,0.0
A Manohar,I Sharma,4,2,4,0,50.0,0.0
A Manohar,JDS Neesham,7,10,10,0,142.85714285714286,0.0
A Manohar,JJ Bumrah,12,16,16,0,133.33333333333331,0.0
A Manohar,JP Behrendorff,4,4,4,0,100.0,0.0
A Manohar,K Kartikeya,3,1,1,1,33.33333333333333,33.33333333333333
A Manohar,KH Pandya,2,2,2,0,100.0,0.0
A Manohar,KK Ahmed,10,2,2,1,20.0,10.0
A Manohar,KR Sen,3,5,5,1,166.66666666666669,33.33333333333333
A Manohar,Kuldeep Yadav,19,13,13,1,68.42105263157895,5.263157894736842
A Manohar,M Jansen,7,7,8,0,100.0,0.0
A Manohar,M Theekshana,6,3,3,1,50.0,16.666666666666664
A Manohar,MJ Santner,12,5,5,0,41.66666666666667,0.0
A Manohar,MM Sharma,1,1,1,0,100.0,0.0
A Manohar,Mukesh Choudhary,6,9,9,0,150.0,0.0
A Manohar,Mukesh Kumar,3,2,2,0,66.66666666666666,0.0
A Manohar,Mustafizur Rahman,2,1,1,1,50.0,50.0
A Manohar,PP Chawla,10,19,19,0,190.0,0.0
A Manohar,PVD Chameera,3,5,5,0,166.66666666666669,0.0
A Manohar,R Ashwin,8,7,7,0,87.5,0.0
A Manohar,R Parag,2,1,1,0,50.0,0.0
A Manohar,R Shepherd,7,4,6,1,57.14285714285714,14.285714285714285
A Manohar,RP Meredith,4,7,7,1,175.0,25.0
A Manohar,Ravi Bishnoi,2,1,1,0,50.0,0.0
A Manohar,SN Thakur,2,0,0,1,0.0,50.0
A Manohar,SP Narine,2,1,1,0,50.0,0.0
A Manohar,Sandeep Sharma,2,2,2,0,100.0,0.0
A Manohar,Shivam Mavi,3,2,3,0,66.66666666666666,0.0
A Manohar,Suyash Sharma,1,0,0,1,0.0,100.0
A Manohar,T Natarajan,4,11,11,0,275.0,0.0
A Manohar,T Stubbs,3,4,4,1,133.33333333333331,33.33333333333333
A Manohar,TA Boult,11,25,25,1,227.27272727272728,9.090909090909092
A Manohar,TG Southee,1,0,0,0,0.0,0.0
A Manohar,TU Deshpande,1,0,0,1,0.0,100.0
A Manohar,UT Yadav,5,13,13,0,260.0,0.0
A Manohar,Umran Malik,7,9,10,1,128.57142857142858,14.285714285714285
A Manohar,YS Chahal,13,23,24,1,176.9230769230769,7.6923076923076925
A Mhatre,Arshad Khan,6,28,28,0,466.6666666666667,0.0
A Mhatre,Arshdeep Singh,3,2,3,0,66.66666666666666,0.0
A Mhatre,Ashwani Kumar,4,17,17,0,425.0,0.0
A Mhatre,B Kumar,12,38,38,0,316.66666666666663,0.0
A Mhatre,DL Chahar,10,13,15,1,130.0,10.0
A Mhatre,HV Patel,1,1,1,0,100.0,0.0
A Mhatre,JD Unadkat,5,9,9,0,180.0,0.0
A Mhatre,KH Pandya,11,15,15,0,136.36363636363637,0.0
A Mhatre,KT Maphaka,5,10,10,0,200.0,0.0
A Mhatre,L Ngidi,5,4,4,1,80.0,20.0
A Mhatre,M Jansen,4,5,5,1,125.0,25.0
A Mhatre,M Prasidh Krishna,4,0,0,1,0.0,25.0
A Mhatre,MJ Santner,3,2,2,0,66.66666666666666,0.0
A Mhatre,Mohammed Shami,8,10,10,0,125.0,0.0
A Mhatre,Mohammed Siraj,8,6,7,0,75.0,0.0
A Mhatre,PJ Cummins,5,10,10,1,200.0,20.0
A Mhatre,R Shepherd,5,17,17,0,340.0,0.0
A Mhatre,Suyash Sharma,8,12,12,0,150.0,0.0
A Mhatre,TU Deshpande,11,21,21,1,190.9090909090909,9.090909090909092
A Mhatre,VG Arora,2,0,0,1,0.0,50.0
A Mhatre,Yash Dayal,7,8,8,0,114.28571428571428,0.0
A Mhatre,Yudhvir Singh,4,12,12,0,300.0,0.0
A Mishra,HV Patel,14,11,11,1,78.57142857142857,7.142857142857142
A Mishra,JR Hazlewood,1,1,1,0,100.0,0.0
A Mishra,KV Sharma,6,1,1,0,16.666666666666664,0.0
A Mishra,MK Lomror,1,1,1,0,100.0,0.0
