Batter,Bowler,Balls Faced,Runs Scored (Batter),Total Runs (Incl. Extras),Wickets Taken,Strike Rate,Dismissal Rate
A Badoni,Mohammed Siraj,20,21,23,0,105,0
A Badoni,Mukesh Kumar,25,43,44,1,172,4
A Badoni,Rashid Khan,28,28,29,1,100,3.571428571
A Badoni,SP Narine,31,30,31,3,96.77419355,9.677419355
A Badoni,T Natarajan,20,38,40,0,190,0
A Badoni,TU Deshpande,22,23,26,2,104.5454545,9.090909091
AD Russell,B Kumar,28,62,68,0,221.4285714,0
AD Russell,RA Jadeja,20,28,29,0,140,0
AD Russell,RD Chahar,26,21,23,0,80.76923077,0
AD Russell,T Natarajan,25,41,43,0,164,0
AK Markram,Arshdeep Singh,24,29,29,2,120.8333333,8.333333333
AK Markram,CV Varun,48,75,77,2,156.25,4.166666667
AK Markram,DL Chahar,20,24,24,0,120,0
AK Markram,HH Pandya,20,26,28,1,130,5
AK Markram,Kuldeep Yadav,21,32,32,1,152.3809524,4.761904762
AK Markram,LH Ferguson,25,41,42,1,164,4
AK Markram,M Theekshana,32,43,45,1,134.375,3.125
AK Markram,MA Starc,20,26,26,0,130,0
AK Markram,Mohammed Siraj,30,43,43,0,143.3333333,0
AK Markram,RA Jadeja,24,27,27,0,112.5,0
AK Markram,RD Chahar,24,24,24,1,100,4.166666667
AK Markram,Rashid Khan,25,27,28,0,108,0
AK Markram,SP Narine,54,47,50,1,87.03703704,1.851851852
AK Markram,Yash Dayal,20,18,19,1,90,5
AM Rahane,B Kumar,22,15,17,1,68.18181818,4.545454545
AM Rahane,R Ashwin,24,23,25,2,95.83333333,8.333333333
AM Rahane,Suyash Sharma,20,29,30,0,145,0
AR Patel,Avesh Khan,23,25,27,0,108.6956522,0
AR Patel,CV Varun,25,12,14,1,48,4
AR Patel,JJ Bumrah,21,32,32,1,152.3809524,4.761904762
AR Patel,Noor Ahmad,23,36,37,2,156.5217391,8.695652174
AR Patel,Rashid Khan,52,80,81,0,153.8461538,0
AR Patel,SP Narine,26,32,32,2,123.0769231,7.692307692
AT Rayudu,Avesh Khan,22,30,31,0,136.3636364,0
AT Rayudu,K Rabada,20,14,14,1,70,5
AT Rayudu,Rashid Khan,22,32,32,1,145.4545455,4.545454545
Abdul Samad,CV Varun,23,30,30,1,130.4347826,4.347826087
Abhishek Sharma,Arshdeep Singh,29,44,45,1,151.7241379,3.448275862
Abhishek Sharma,DL Chahar,32,39,42,1,121.875,3.125
Abhishek Sharma,I Sharma,31,63,64,1,203.2258065,3.225806452
Abhishek Sharma,M Theekshana,20,33,33,1,165,5
Abhishek Sharma,Mohammed Siraj,44,43,45,1,97.72727273,2.272727273
Abhishek Sharma,Mukesh Choudhary,27,57,58,1,211.1111111,3.703703704
Abhishek Sharma,R Ashwin,20,28,30,1,140,5
Abhishek Sharma,Rashid Khan,36,82,82,1,227.7777778,2.777777778
Abhishek Sharma,SP Narine,26,51,52,1,196.1538462,3.846153846
Abhishek Sharma,TA Boult,28,33,37,3,117.8571429,10.71428571
Abhishek Sharma,VG Arora,23,17,19,1,73.91304348,4.347826087
Abhishek Sharma,WG Jacks,20,33,33,0,165,0
Abhishek Sharma,Yash Dayal,33,40,45,2,121.2121212,6.060606061
Abhishek Sharma,Yash Thakur,27,72,75,0,266.6666667,0
Abishek Porel,JJ Bumrah,21,14,15,1,66.66666667,4.761904762
B Sai Sudharsan,A Nortje,20,40,41,0,200,0
B Sai Sudharsan,AR Patel,25,51,51,0,204,0
B Sai Sudharsan,Arshdeep Singh,32,37,39,2,115.625,6.25
B Sai Sudharsan,B Kumar,25,24,27,0,96,0
B Sai Sudharsan,DL Chahar,21,25,27,0,119.047619,0
B Sai Sudharsan,K Rabada,21,28,30,0,133.3333333,0
B Sai Sudharsan,KK Ahmed,22,29,31,0,131.8181818,0
B Sai Sudharsan,Kuldeep Yadav,32,36,38,1,112.5,3.125
B Sai Sudharsan,M Jansen,27,30,42,1,111.1111111,3.703703704
B Sai Sudharsan,M Pathirana,23,38,42,2,165.2173913,8.695652174
B Sai Sudharsan,M Theekshana,31,43,48,1,138.7096774,3.225806452
B Sai Sudharsan,MJ Santner,21,40,40,0,190.4761905,0
B Sai Sudharsan,Mukesh Kumar,22,32,33,0,145.4545455,0
B Sai Sudharsan,RA Jadeja,38,65,65,1,171.0526316,2.631578947
B Sai Sudharsan,SN Thakur,20,24,24,0,120,0
B Sai Sudharsan,SP Narine,21,26,27,1,123.8095238,4.761904762
B Sai Sudharsan,Sandeep Sharma,33,31,33,0,93.93939394,0
B Sai Sudharsan,T Natarajan,20,47,47,1,235,5
B Sai Sudharsan,TA Boult,39,43,44,2,110.2564103,5.128205128
B Sai Sudharsan,TU Deshpande,41,65,69,2,158.5365854,4.87804878
B Sai Sudharsan,Yash Dayal,30,28,30,0,93.33333333,0
C Green,Noor Ahmad,22,38,39,1,172.7272727,4.545454545
C Green,R Ashwin,21,20,21,2,95.23809524,9.523809524
D Padikkal,Arshdeep Singh,35,51,53,2,145.7142857,5.714285714
D Padikkal,C Sakariya,25,30,33,0,120,0
D Padikkal,DL Chahar,24,50,52,0,208.3333333,0
D Padikkal,HH Pandya,28,17,20,1,60.71428571,3.571428571
D Padikkal,JO Holder,22,23,25,0,104.5454545,0
D Padikkal,K Rabada,26,48,49,0,184.6153846,0
D Padikkal,Mustafizur Rahman,32,48,56,1,150,3.125
D Padikkal,PVD Chameera,22,25,27,0,113.6363636,0
D Padikkal,PWH de Silva,28,41,42,0,146.4285714,0
D Padikkal,RA Jadeja,35,44,47,1,125.7142857,2.857142857
D Padikkal,RD Chahar,22,21,23,0,95.45454545,0
D Padikkal,Rashid Khan,26,18,19,4,69.23076923,15.38461538
D Padikkal,Ravi Bishnoi,27,34,35,1,125.9259259,3.703703704
D Padikkal,SN Thakur,25,21,24,2,84,8
D Padikkal,TU Deshpande,20,42,43,0,210,0
D Padikkal,Umran Malik,25,16,18,2,64,8
DA Miller,Avesh Khan,32,54,56,2,168.75,6.25
DA Miller,CJ Jordan,21,36,39,0,171.4285714,0
DA Miller,Kuldeep Yadav,25,23,25,1,92,4
DA Miller,M Prasidh Krishna,32,54,58,0,168.75,0
DA Miller,R Ashwin,36,37,37,1,102.7777778,2.777777778
DA Miller,YS Chahal,32,60,60,0,187.5,0
DA Warner,Arshdeep Singh,29,39,43,0,134.4827586,0
DA Warner,B Kumar,30,17,20,2,56.66666667,6.666666667
DA Warner,DL Chahar,37,52,53,1,140.5405405,2.702702703
DA Warner,K Rabada,28,55,56,0,196.4285714,0
DA Warner,Mohammed Shami,25,22,29,1,88,4
DA Warner,Mohammed Siraj,22,39,40,0,177.2727273,0
DA Warner,R Ashwin,31,28,32,0,90.32258065,0
DA Warner,RA Jadeja,31,58,59,0,187.0967742,0
DA Warner,RD Chahar,21,27,29,0,128.5714286,0
DA Warner,SM Curran,28,37,38,1,132.1428571,3.571428571
DA Warner,SP Narine,29,37,41,0,127.5862069,0
DA Warner,TA Boult,45,54,56,0,120,0
DA Warner,TU Deshpande,20,17,18,0,85,0
DA Warner,YS Chahal,32,40,42,1,125,3.125
DJ Hooda,AR Patel,21,27,28,0,128.5714286,0
DJ Hooda,HH Pandya,24,29,29,1,120.8333333,4.166666667
DJ Hooda,R Ashwin,30,31,32,2,103.3333333,6.666666667
DJ Hooda,Rashid Khan,32,32,33,3,100,9.375
DJ Hooda,Shahbaz Ahmed,21,22,24,1,104.7619048,4.761904762
DJ Hooda,TA Boult,36,55,60,0,152.7777778,0
DJ Hooda,YS Chahal,34,49,50,3,144.1176471,8.823529412
DP Conway,A Nortje,21,30,30,1,142.8571429,4.761904762
DP Conway,B Kumar,21,17,20,0,80.95238095,0
DP Conway,GJ Maxwell,24,28,28,0,116.6666667,0
DP Conway,KK Ahmed,26,32,35,1,123.0769231,3.846153846
DP Conway,Kuldeep Yadav,20,43,45,0,215,0
