batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style,venue
A Badoni,Mohammed Siraj,21,20,0,105.0,0.0,Right-hand,Right-arm fast,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
A Badoni,Mohammed Siraj,21,20,0,105.0,0.0,Right-hand,Right-arm fast,"Dr DY Patil Sports Academy, Mumbai"
A Badoni,Mohammed Siraj,21,20,0,105.0,0.0,Right-hand,Right-arm fast,"M Chinnaswamy Stadium, Bengaluru"
A Badoni,Mukesh Kumar,43,25,1,172.0,4.0,Right-hand,Right-arm medium-fast,"Arun Jaitley Stadium, Delhi"
A Badoni,Mukesh Kumar,43,25,1,172.0,4.0,Right-hand,Right-arm medium-fast,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
A Badoni,Rashid Khan,28,28,1,100.0,3.57,Right-hand,Right-arm legbreak,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
A Badoni,Rashid Khan,28,28,1,100.0,3.57,Right-hand,Right-arm legbreak,"Maharashtra Cricket Association Stadium, Pune"
A Badoni,Rashid Khan,28,28,1,100.0,3.57,Right-hand,Right-arm legbreak,"Wankhede Stadium, Mumbai"
A Badoni,SP Narine,30,31,3,96.77,9.68,Right-hand,Right-arm offbreak,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
A Badoni,SP Narine,30,31,3,96.77,9.68,Right-hand,Right-arm offbreak,"Eden Gardens, Kolkata"
A Badoni,SP Narine,30,31,3,96.77,9.68,Right-hand,Right-arm offbreak,"Maharashtra Cricket Association Stadium, Pune"
A Badoni,T Natarajan,38,20,0,190.0,0.0,Right-hand,Left-arm medium-fast,"Dr DY Patil Sports Academy, Mumbai"
A Badoni,T Natarajan,38,20,0,190.0,0.0,Right-hand,Left-arm medium-fast,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
A Badoni,TU Deshpande,23,22,2,104.55,9.09,Right-hand,Right-arm medium-fast,"MA Chidambaram Stadium, Chepauk, Chennai"
A Badoni,TU Deshpande,23,22,2,104.55,9.09,Right-hand,Right-arm medium-fast,"Sawai Mansingh Stadium, Jaipur"
AD Russell,B Kumar,62,28,0,221.43,0.0,Right-hand,Right-arm medium,"Brabourne Stadium, Mumbai"
AD Russell,B Kumar,62,28,0,221.43,0.0,Right-hand,Right-arm medium,"Eden Gardens, Kolkata"
AD Russell,B Kumar,62,28,0,221.43,0.0,Right-hand,Right-arm medium,"Maharashtra Cricket Association Stadium, Pune"
AD Russell,RA Jadeja,30,22,0,136.36,0.0,Right-hand,Left-arm orthodox,"Eden Gardens, Kolkata"
AD Russell,RA Jadeja,30,22,0,136.36,0.0,Right-hand,Left-arm orthodox,"Wankhede Stadium, Mumbai"
AD Russell,RA Jadeja,30,22,0,136.36,0.0,Right-hand,Left-arm orthodox,"Zayed Cricket Stadium, Abu Dhabi"
AD Russell,RD Chahar,21,26,0,80.77,0.0,Right-hand,Right-arm legbreak,"Eden Gardens, Kolkata"
AD Russell,RD Chahar,21,26,0,80.77,0.0,Right-hand,Right-arm legbreak,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
AD Russell,RD Chahar,21,26,0,80.77,0.0,Right-hand,Right-arm legbreak,"Wankhede Stadium, Mumbai"
AD Russell,SM Curran,64,25,2,256.0,8.0,Right-hand,Left-arm medium-fast,
AD Russell,T Natarajan,41,25,0,164.0,0.0,Right-hand,Left-arm medium-fast,"Brabourne Stadium, Mumbai"
AD Russell,T Natarajan,41,25,0,164.0,0.0,Right-hand,Left-arm medium-fast,"Eden Gardens, Kolkata"
AD Russell,T Natarajan,41,25,0,164.0,0.0,Right-hand,Left-arm medium-fast,"MA Chidambaram Stadium, Chepauk, Chennai"
AD Russell,T Natarajan,41,25,0,164.0,0.0,Right-hand,Left-arm medium-fast,"Maharashtra Cricket Association Stadium, Pune"
AD Russell,T Natarajan,41,25,0,164.0,0.0,Right-hand,Left-arm medium-fast,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,Arshdeep Singh,29,24,2,120.83,8.33,Right-hand,Left-arm medium-fast,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
AK Markram,Arshdeep Singh,29,24,2,120.83,8.33,Right-hand,Left-arm medium-fast,"Dr DY Patil Sports Academy, Mumbai"
AK Markram,Arshdeep Singh,29,24,2,120.83,8.33,Right-hand,Left-arm medium-fast,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
AK Markram,Arshdeep Singh,29,24,2,120.83,8.33,Right-hand,Left-arm medium-fast,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
AK Markram,Arshdeep Singh,29,24,2,120.83,8.33,Right-hand,Left-arm medium-fast,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,CV Varun,75,48,2,156.25,4.17,Right-hand,Right-arm legbreak,"Brabourne Stadium, Mumbai"
AK Markram,CV Varun,75,48,2,156.25,4.17,Right-hand,Right-arm legbreak,Dubai International Cricket Stadium
AK Markram,CV Varun,75,48,2,156.25,4.17,Right-hand,Right-arm legbreak,"Eden Gardens, Kolkata"
AK Markram,CV Varun,75,48,2,156.25,4.17,Right-hand,Right-arm legbreak,"Maharashtra Cricket Association Stadium, Pune"
AK Markram,CV Varun,75,48,2,156.25,4.17,Right-hand,Right-arm legbreak,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,DL Chahar,24,20,0,120.0,0.0,Right-hand,Right-arm medium,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
AK Markram,DL Chahar,24,20,0,120.0,0.0,Right-hand,Right-arm medium,Dubai International Cricket Stadium
AK Markram,DL Chahar,24,20,0,120.0,0.0,Right-hand,Right-arm medium,"MA Chidambaram Stadium, Chepauk, Chennai"
AK Markram,DL Chahar,24,20,0,120.0,0.0,Right-hand,Right-arm medium,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,DL Chahar,24,20,0,120.0,0.0,Right-hand,Right-arm medium,"Wankhede Stadium, Mumbai"
AK Markram,HH Pandya,26,20,1,130.0,5.0,Right-hand,Right-arm medium-fast,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
AK Markram,HH Pandya,26,20,1,130.0,5.0,Right-hand,Right-arm medium-fast,"Dr DY Patil Sports Academy, Mumbai"
AK Markram,HH Pandya,26,20,1,130.0,5.0,Right-hand,Right-arm medium-fast,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,Kuldeep Yadav,32,21,1,152.38,4.76,Right-hand,Left-arm chinaman,"Arun Jaitley Stadium, Delhi"
AK Markram,Kuldeep Yadav,32,21,1,152.38,4.76,Right-hand,Left-arm chinaman,"Brabourne Stadium, Mumbai"
AK Markram,Kuldeep Yadav,32,21,1,152.38,4.76,Right-hand,Left-arm chinaman,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
AK Markram,LH Ferguson,41,25,1,164.0,4.0,Right-hand,Right-arm fast,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
AK Markram,LH Ferguson,41,25,1,164.0,4.0,Right-hand,Right-arm fast,"Dr DY Patil Sports Academy, Mumbai"
AK Markram,LH Ferguson,41,25,1,164.0,4.0,Right-hand,Right-arm fast,"M Chinnaswamy Stadium, Bengaluru"
AK Markram,LH Ferguson,41,25,1,164.0,4.0,Right-hand,Right-arm fast,"Wankhede Stadium, Mumbai"
