total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand_encoded,bowling_style_encoded,batsman,bowler
21,20,0,105,0,1,6,0,52
43,25,1,172,4,1,10,0,55
28,28,1,100,3.57,1,8,0,70
30,31,3,96.77,9.68,1,11,0,75
38,20,0,190,0,1,3,0,81
23,22,2,104.55,9.09,1,10,0,84
62,28,0,221.43,0,1,9,1,10
30,22,0,136.36,0,1,4,1,67
21,26,0,80.77,0,1,8,1,68
64,25,2,256,8,1,3,1,73
41,25,0,164,0,1,3,1,81
29,24,2,120.83,8.33,1,3,2,8
75,48,2,156.25,4.17,1,8,2,15
24,20,0,120,0,1,9,2,17
26,20,1,130,5,1,10,2,20
32,21,1,152.38,4.76,1,0,2,38
41,25,1,164,4,1,6,2,39
43,32,1,134.38,3.12,1,11,2,45
26,20,0,130,0,1,1,2,46
43,30,0,143.33,0,1,6,2,52
27,24,0,112.5,0,1,4,2,67
24,24,1,100,4.17,1,8,2,68
27,25,0,108,0,1,8,2,70
47,54,1,87.04,1.85,1,11,2,75
18,20,1,90,5,1,2,2,92
15,22,1,68.18,4.55,1,9,3,10
23,24,2,95.83,8.33,1,11,3,65
29,20,0,145,0,1,8,3,80
25,23,0,108.7,0,0,6,4,9
12,25,1,48,4,0,8,4,15
32,21,1,152.38,4.76,0,6,4,29
36,23,2,156.52,8.7,0,5,4,59
80,52,0,153.85,0,0,8,4,70
32,26,2,123.08,7.69,0,11,4,75
30,22,0,136.36,0,1,6,5,9
14,20,1,70,5,1,6,5,34
32,22,1,145.45,4.55,1,8,5,70
30,23,1,130.43,4.35,1,8,6,15
44,29,1,151.72,3.45,0,3,7,8
39,32,1,121.88,3.12,0,9,7,17
63,31,1,203.23,3.23,0,6,7,24
33,20,1,165,5,0,11,7,45
43,44,1,97.73,2.27,0,6,7,52
57,27,1,211.11,3.7,0,3,7,54
28,20,1,140,5,0,11,7,65
82,36,1,227.78,2.78,0,8,7,70
51,26,1,196.15,3.85,0,11,7,75
33,28,3,117.86,10.71,0,2,7,82
17,23,1,73.91,4.35,0,10,7,87
33,20,0,165,0,0,11,7,89
40,33,2,121.21,6.06,0,2,7,92
72,27,0,266.67,0,0,10,7,93
14,21,1,66.67,4.76,0,6,8,29
40,20,0,200,0,0,6,9,1
51,25,0,204,0,0,4,9,3
37,32,2,115.62,6.25,0,3,9,8
24,25,0,96,0,0,9,9,10
25,21,0,119.05,0,0,9,9,17
28,21,0,133.33,0,0,6,9,34
29,22,0,131.82,0,0,2,9,37
36,32,1,112.5,3.12,0,0,9,38
30,27,1,111.11,3.7,0,2,9,41
38,23,2,165.22,8.7,0,6,9,43
43,31,1,138.71,3.23,0,11,9,45
40,21,0,190.48,0,0,4,9,47
