batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand_encoded,bowling_style_encoded
A Badoni,Mohammed Siraj,21,20,0,105.0,0.0,1,6
A Badoni,Mukesh Kumar,43,25,1,172.0,4.0,1,10
A Badoni,Rashid Khan,28,28,1,100.0,3.57,1,8
A Badoni,SP Narine,30,31,3,96.77,9.68,1,11
A Badoni,T Natarajan,38,20,0,190.0,0.0,1,3
A Badoni,TU Deshpande,23,22,2,104.55,9.09,1,10
AD Russell,B Kumar,62,28,0,221.43,0.0,1,9
AD Russell,RA Jadeja,30,22,0,136.36,0.0,1,4
AD Russell,RD Chahar,21,26,0,80.77,0.0,1,8
AD Russell,SM Curran,64,25,2,256.0,8.0,1,3
AD Russell,T Natarajan,41,25,0,164.0,0.0,1,3
AK Markram,Arshdeep Singh,29,24,2,120.83,8.33,1,3
AK Markram,CV Varun,75,48,2,156.25,4.17,1,8
AK Markram,DL Chahar,24,20,0,120.0,0.0,1,9
AK Markram,HH Pandya,26,20,1,130.0,5.0,1,10
AK Markram,Kuldeep Yadav,32,21,1,152.38,4.76,1,0
AK Markram,LH Ferguson,41,25,1,164.0,4.0,1,6
AK Markram,M Theekshana,43,32,1,134.38,3.12,1,11
AK Markram,MA Starc,26,20,0,130.0,0.0,1,1
AK Markram,Mohammed Siraj,43,30,0,143.33,0.0,1,6
AK Markram,RA Jadeja,27,24,0,112.5,0.0,1,4
AK Markram,RD Chahar,24,24,1,100.0,4.17,1,8
AK Markram,Rashid Khan,27,25,0,108.0,0.0,1,8
AK Markram,SP Narine,47,54,1,87.04,1.85,1,11
AK Markram,Yash Dayal,18,20,1,90.0,5.0,1,2
AM Rahane,B Kumar,15,22,1,68.18,4.55,1,9
AM Rahane,R Ashwin,23,24,2,95.83,8.33,1,11
AM Rahane,Suyash Sharma,29,20,0,145.0,0.0,1,8
AR Patel,Avesh Khan,25,23,0,108.7,0.0,0,6
AR Patel,CV Varun,12,25,1,48.0,4.0,0,8
AR Patel,JJ Bumrah,32,21,1,152.38,4.76,0,6
AR Patel,Noor Ahmad,36,23,2,156.52,8.7,0,5
AR Patel,Rashid Khan,80,52,0,153.85,0.0,0,8
AR Patel,SP Narine,32,26,2,123.08,7.69,0,11
AT Rayudu,Avesh Khan,30,22,0,136.36,0.0,1,6
AT Rayudu,K Rabada,14,20,1,70.0,5.0,1,6
AT Rayudu,Rashid Khan,32,22,1,145.45,4.55,1,8
Abdul Samad,CV Varun,30,23,1,130.43,4.35,1,8
Abhishek Sharma,Arshdeep Singh,44,29,1,151.72,3.45,0,3
Abhishek Sharma,DL Chahar,39,32,1,121.88,3.12,0,9
Abhishek Sharma,I Sharma,63,31,1,203.23,3.23,0,6
Abhishek Sharma,M Theekshana,33,20,1,165.0,5.0,0,11
Abhishek Sharma,Mohammed Siraj,43,44,1,97.73,2.27,0,6
Abhishek Sharma,Mukesh Choudhary,57,27,1,211.11,3.7,0,3
Abhishek Sharma,R Ashwin,28,20,1,140.0,5.0,0,11
Abhishek Sharma,Rashid Khan,82,36,1,227.78,2.78,0,8
Abhishek Sharma,SP Narine,51,26,1,196.15,3.85,0,11
Abhishek Sharma,TA Boult,33,28,3,117.86,10.71,0,2
Abhishek Sharma,VG Arora,17,23,1,73.91,4.35,0,10
Abhishek Sharma,WG Jacks,33,20,0,165.0,0.0,0,11
Abhishek Sharma,Yash Dayal,40,33,2,121.21,6.06,0,2
Abhishek Sharma,Yash Thakur,72,27,0,266.67,0.0,0,10
Abishek Porel,JJ Bumrah,14,21,1,66.67,4.76,0,6
B Sai Sudharsan,A Nortje,40,20,0,200.0,0.0,0,6
B Sai Sudharsan,AR Patel,51,25,0,204.0,0.0,0,4
B Sai Sudharsan,Arshdeep Singh,37,32,2,115.62,6.25,0,3
B Sai Sudharsan,B Kumar,24,25,0,96.0,0.0,0,9
B Sai Sudharsan,DL Chahar,25,21,0,119.05,0.0,0,9
B Sai Sudharsan,K Rabada,28,21,0,133.33,0.0,0,6
B Sai Sudharsan,KK Ahmed,29,22,0,131.82,0.0,0,2
B Sai Sudharsan,Kuldeep Yadav,36,32,1,112.5,3.12,0,0
B Sai Sudharsan,M Jansen,30,27,1,111.11,3.7,0,2
B Sai Sudharsan,M Pathirana,38,23,2,165.22,8.7,0,6
B Sai Sudharsan,M Theekshana,43,31,1,138.71,3.23,0,11
B Sai Sudharsan,MJ Santner,40,21,0,190.48,0.0,0,4
B Sai Sudharsan,Mukesh Kumar,32,22,0,145.45,0.0,0,10
B Sai Sudharsan,RA Jadeja,65,38,1,171.05,2.63,0,4
B Sai Sudharsan,SN Thakur,24,20,0,120.0,0.0,0,10
B Sai Sudharsan,SP Narine,26,21,1,123.81,4.76,0,11
B Sai Sudharsan,Sandeep Sharma,31,33,0,93.94,0.0,0,10
B Sai Sudharsan,T Natarajan,47,20,1,235.0,5.0,0,3
B Sai Sudharsan,TA Boult,43,39,2,110.26,5.13,0,2
B Sai Sudharsan,TU Deshpande,65,41,2,158.54,4.88,0,10
B Sai Sudharsan,Yash Dayal,28,30,0,93.33,0.0,0,2
C Green,Noor Ahmad,38,22,1,172.73,4.55,1,5
C Green,R Ashwin,20,21,2,95.24,9.52,1,11
D Padikkal,Arshdeep Singh,51,35,2,145.71,5.71,0,3
D Padikkal,C Sakariya,30,25,0,120.0,0.0,0,3
D Padikkal,DL Chahar,50,24,0,208.33,0.0,0,9
D Padikkal,HH Pandya,17,28,1,60.71,3.57,0,10
D Padikkal,JO Holder,23,22,0,104.55,0.0,0,7
D Padikkal,K Rabada,48,26,0,184.62,0.0,0,6
D Padikkal,Mustafizur Rahman,48,32,1,150.0,3.12,0,2
D Padikkal,PVD Chameera,25,22,0,113.64,0.0,0,6
D Padikkal,PWH de Silva,41,28,0,146.43,0.0,0,11
D Padikkal,RA Jadeja,44,35,1,125.71,2.86,0,4
D Padikkal,RD Chahar,21,22,0,95.45,0.0,0,8
D Padikkal,Rashid Khan,18,26,3,69.23,11.54,0,8
D Padikkal,Ravi Bishnoi,34,27,1,125.93,3.7,0,8
D Padikkal,SN Thakur,21,25,2,84.0,8.0,0,10
D Padikkal,TU Deshpande,42,20,0,210.0,0.0,0,10
D Padikkal,Umran Malik,16,25,2,64.0,8.0,0,6
DA Miller,Avesh Khan,54,32,2,168.75,6.25,0,6
DA Miller,CJ Jordan,36,21,0,171.43,0.0,0,7
DA Miller,Kuldeep Yadav,23,25,1,92.0,4.0,0,0
DA Miller,M Prasidh Krishna,54,32,0,168.75,0.0,0,6
DA Miller,R Ashwin,37,36,1,102.78,2.78,0,11
DA Miller,YS Chahal,60,32,0,187.5,0.0,0,8
DA Warner,Arshdeep Singh,39,29,0,134.48,0.0,0,3
