batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style
A Badoni,A Zampa,2,3,1,66.67,33.33,Right-hand,Right-arm legbreak
A Badoni,AD Russell,22,15,0,146.67,0.0,Right-hand,Right-arm fast
A Badoni,AR Patel,11,10,0,110.0,0.0,Right-hand,Left-arm orthodox
A Badoni,AS Joseph,5,4,0,125.0,0.0,Right-hand,Right-arm fast
A Badoni,Akash Madhwal,0,4,1,0.0,25.0,Right-hand,Right-arm medium-fast
A Badoni,Arshdeep Singh,13,14,1,92.86,7.14,Right-hand,Left-arm medium-fast
A Badoni,Ashwani Kumar,4,2,1,200.0,50.0,Right-hand,Right-arm medium
A Badoni,Avesh Khan,2,2,0,100.0,0.0,Right-hand,Right-arm fast
A Badoni,Azmatullah Omarzai,21,14,0,150.0,0.0,Right-hand,Right-arm medium-fast
A Badoni,B Kumar,4,4,0,100.0,0.0,Right-hand,Right-arm medium
A Badoni,C Bosch,6,6,0,100.0,0.0,Right-hand,Right-arm medium-fast
A Badoni,C Sakariya,13,5,1,260.0,20.0,Right-hand,Left-arm medium-fast
A Badoni,CV Varun,18,16,0,112.5,0.0,Right-hand,Right-arm legbreak
A Badoni,DG Nalkande,2,1,0,200.0,0.0,Right-hand,Right-arm fast
A Badoni,DJ Bravo,5,5,0,100.0,0.0,Right-hand,Right-arm medium-fast
A Badoni,DJ Willey,6,5,0,120.0,0.0,Right-hand,Left-arm fast-medium
A Badoni,DL Chahar,27,10,0,270.0,0.0,Right-hand,Right-arm medium
A Badoni,E Malinga,0,2,1,0.0,50.0,Right-hand,Right-arm fast
A Badoni,G Coetzee,5,5,0,100.0,0.0,Right-hand,Right-arm fast
A Badoni,GJ Maxwell,5,6,0,83.33,0.0,Right-hand,Right-arm offbreak
A Badoni,Gurnoor Brar,11,5,0,220.0,0.0,Right-hand,Left-arm medium-fast
A Badoni,HH Pandya,20,15,1,133.33,6.67,Right-hand,Right-arm medium-fast
A Badoni,HV Patel,5,6,0,83.33,0.0,Right-hand,Right-arm offbreak
A Badoni,Harpreet Brar,2,3,0,66.67,0.0,Right-hand,Left-arm orthodox
A Badoni,Harshit Rana,7,7,0,100.0,0.0,Right-hand,Right-arm fast-medium
A Badoni,I Sharma,10,11,0,90.91,0.0,Right-hand,Right-arm fast
A Badoni,J Overton,13,5,0,260.0,0.0,Right-hand,Right-arm fast-medium
A Badoni,JD Unadkat,4,6,0,66.67,0.0,Right-hand,Left-arm medium-fast
A Badoni,JJ Bumrah,3,5,0,60.0,0.0,Right-hand,Right-arm fast
A Badoni,JO Holder,0,1,0,0.0,0.0,Right-hand,Right-arm fast-medium
A Badoni,JR Hazlewood,3,9,2,33.33,22.22,Right-hand,Right-arm fast-medium
A Badoni,K Rabada,8,8,1,100.0,12.5,Right-hand,Right-arm fast
A Badoni,KK Ahmed,12,6,0,200.0,0.0,Right-hand,Left-arm fast-medium
A Badoni,KR Sen,2,2,0,100.0,0.0,Right-hand,Right-arm fast
A Badoni,KV Sharma,28,12,0,233.33,0.0,Right-hand,Right-arm legbreak
A Badoni,Kuldeep Yadav,13,14,1,92.86,7.14,Right-hand,Left-arm chinaman
A Badoni,LH Ferguson,23,15,0,153.33,0.0,Right-hand,Right-arm fast
A Badoni,LS Livingstone,6,2,1,300.0,50.0,Right-hand,Right-arm offbreak
A Badoni,M Jansen,16,14,0,114.29,0.0,Right-hand,Left-arm fast-medium
A Badoni,M Pathirana,10,14,0,71.43,0.0,Right-hand,Right-arm fast
A Badoni,M Prasidh Krishna,2,6,0,33.33,0.0,Right-hand,Right-arm fast
A Badoni,M Theekshana,35,18,0,194.44,0.0,Right-hand,Right-arm offbreak
A Badoni,MA Starc,7,6,0,116.67,0.0,Right-hand,Left-arm fast
A Badoni,MJ Santner,15,8,0,187.5,0.0,Right-hand,Left-arm orthodox
A Badoni,MM Ali,6,8,0,75.0,0.0,Right-hand,Right-arm offbreak
A Badoni,MM Sharma,23,13,1,176.92,7.69,Right-hand,Right-arm medium-fast
A Badoni,MP Stoinis,4,8,0,50.0,0.0,Right-hand,Right-arm medium
A Badoni,Mohammed Shami,16,11,0,145.45,0.0,Right-hand,Right-arm fast
A Badoni,Mohammed Siraj,21,20,0,105.0,0.0,Right-hand,Right-arm fast
A Badoni,Mukesh Choudhary,7,5,0,140.0,0.0,Right-hand,Left-arm medium-fast
A Badoni,Mukesh Kumar,43,25,1,172.0,4.0,Right-hand,Right-arm medium-fast
A Badoni,N Burger,0,1,1,0.0,100.0,Right-hand,Right-arm fast
A Badoni,N Thushara,4,3,0,133.33,0.0,Right-hand,Right-arm fast
A Badoni,Noor Ahmad,7,6,0,116.67,0.0,Right-hand,Left-arm wrist-spin
A Badoni,PJ Cummins,10,7,0,142.86,0.0,Right-hand,Right-arm fast
A Badoni,PP Chawla,2,4,0,50.0,0.0,Right-hand,Right-arm legbreak
A Badoni,PVD Chameera,8,4,0,200.0,0.0,Right-hand,Right-arm fast
A Badoni,PWH de Silva,14,13,0,107.69,0.0,Right-hand,Right-arm offbreak
A Badoni,R Ashwin,11,9,0,122.22,0.0,Right-hand,Right-arm offbreak
