batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style
A Badoni,Mohammed Siraj,21,20,0,105.0,0.0,Right-hand,Right-arm fast
A Badoni,Mukesh Kumar,43,25,1,172.0,4.0,Right-hand,Right-arm medium-fast
A Badoni,Rashid Khan,28,28,1,100.0,3.57,Right-hand,Right-arm legbreak
A Badoni,SP Narine,30,31,3,96.77,9.68,Right-hand,Right-arm offbreak
A Badoni,T Natarajan,38,20,0,190.0,0.0,Right-hand,Left-arm medium-fast
A Badoni,TU Deshpande,23,22,2,104.55,9.09,Right-hand,Right-arm medium-fast
AD Russell,B Kumar,62,28,0,221.43,0.0,Right-hand,Right-arm medium
AD Russell,RA Jadeja,30,22,0,136.36,0.0,Right-hand,Left-arm orthodox
AD Russell,RD Chahar,21,26,0,80.77,0.0,Right-hand,Right-arm legbreak
AD Russell,SM Curran,64,25,2,256.0,8.0,Right-hand,Left-arm medium-fast
AD Russell,T Natarajan,41,25,0,164.0,0.0,Right-hand,Left-arm medium-fast
AK Markram,Arshdeep Singh,29,24,2,120.83,8.33,Right-hand,Left-arm medium-fast
AK Markram,CV Varun,75,48,2,156.25,4.17,Right-hand,Right-arm legbreak
AK Markram,DL Chahar,24,20,0,120.0,0.0,Right-hand,Right-arm medium
AK Markram,HH Pandya,26,20,1,130.0,5.0,Right-hand,Right-arm medium-fast
AK Markram,Kuldeep Yadav,32,21,1,152.38,4.76,Right-hand,Left-arm chinaman
AK Markram,LH Ferguson,41,25,1,164.0,4.0,Right-hand,Right-arm fast
AK Markram,M Theekshana,43,32,1,134.38,3.12,Right-hand,Right-arm offbreak
AK Markram,MA Starc,26,20,0,130.0,0.0,Right-hand,Left-arm fast
AK Markram,Mohammed Siraj,43,30,0,143.33,0.0,Right-hand,Right-arm fast
AK Markram,RA Jadeja,27,24,0,112.5,0.0,Right-hand,Left-arm orthodox
AK Markram,RD Chahar,24,24,1,100.0,4.17,Right-hand,Right-arm legbreak
AK Markram,Rashid Khan,27,25,0,108.0,0.0,Right-hand,Right-arm legbreak
AK Markram,SP Narine,47,54,1,87.04,1.85,Right-hand,Right-arm offbreak
AK Markram,Yash Dayal,18,20,1,90.0,5.0,Right-hand,Left-arm fast-medium
AM Rahane,B Kumar,15,22,1,68.18,4.55,Right-hand,Right-arm medium
AM Rahane,R Ashwin,23,24,2,95.83,8.33,Right-hand,Right-arm offbreak
AM Rahane,Suyash Sharma,29,20,0,145.0,0.0,Right-hand,Right-arm legbreak
AR Patel,Avesh Khan,25,23,0,108.7,0.0,Left-hand,Right-arm fast
AR Patel,CV Varun,12,25,1,48.0,4.0,Left-hand,Right-arm legbreak
AR Patel,JJ Bumrah,32,21,1,152.38,4.76,Left-hand,Right-arm fast
AR Patel,Noor Ahmad,36,23,2,156.52,8.7,Left-hand,Left-arm wrist-spin
AR Patel,Rashid Khan,80,52,0,153.85,0.0,Left-hand,Right-arm legbreak
AR Patel,SP Narine,32,26,2,123.08,7.69,Left-hand,Right-arm offbreak
AT Rayudu,Avesh Khan,30,22,0,136.36,0.0,Right-hand,Right-arm fast
AT Rayudu,K Rabada,14,20,1,70.0,5.0,Right-hand,Right-arm fast
AT Rayudu,Rashid Khan,32,22,1,145.45,4.55,Right-hand,Right-arm legbreak
Abdul Samad,CV Varun,30,23,1,130.43,4.35,Right-hand,Right-arm legbreak
Abhishek Sharma,Arshdeep Singh,44,29,1,151.72,3.45,Left-hand,Left-arm medium-fast
Abhishek Sharma,DL Chahar,39,32,1,121.88,3.12,Left-hand,Right-arm medium
Abhishek Sharma,I Sharma,63,31,1,203.23,3.23,Left-hand,Right-arm fast
Abhishek Sharma,M Theekshana,33,20,1,165.0,5.0,Left-hand,Right-arm offbreak
Abhishek Sharma,Mohammed Siraj,43,44,1,97.73,2.27,Left-hand,Right-arm fast
Abhishek Sharma,Mukesh Choudhary,57,27,1,211.11,3.7,Left-hand,Left-arm medium-fast
Abhishek Sharma,R Ashwin,28,20,1,140.0,5.0,Left-hand,Right-arm offbreak
Abhishek Sharma,Rashid Khan,82,36,1,227.78,2.78,Left-hand,Right-arm legbreak
Abhishek Sharma,SP Narine,51,26,1,196.15,3.85,Left-hand,Right-arm offbreak
Abhishek Sharma,TA Boult,33,28,3,117.86,10.71,Left-hand,Left-arm fast-medium
Abhishek Sharma,VG Arora,17,23,1,73.91,4.35,Left-hand,Right-arm medium-fast
Abhishek Sharma,WG Jacks,33,20,0,165.0,0.0,Left-hand,Right-arm offbreak
Abhishek Sharma,Yash Dayal,40,33,2,121.21,6.06,Left-hand,Left-arm fast-medium
Abhishek Sharma,Yash Thakur,72,27,0,266.67,0.0,Left-hand,Right-arm medium-fast
