Original_Value,Encoded_Value
A Kamboj,0
A Nortje,1
AD Russell,2
AR Patel,3
AS Joseph,4
AU Rashid,5
Abhishek Sharma,6
Akash Deep,7
Arshdeep Singh,8
Avesh Khan,9
B Kumar,10
C Green,11
C Sakariya,12
CH Morris,13
CJ Jordan,14
CV Varun,15
DJ Bravo,16
DL Chahar,17
DR Sams,18
GJ Maxwell,19
HH Pandya,20
HV Patel,21
Harpreet Brar,22
Harshit Rana,23
I Sharma,24
J Suchith,25
J Yadav,26
JC Archer,27
JD Unadkat,28
JJ Bumrah,29
JO Holder,30
JP Behrendorff,31
JR Hazlewood,32
K Kartikeya,33
K Rabada,34
KA Jamieson,35
KH Pandya,36
KK Ahmed,37
Kuldeep Yadav,38
LH Ferguson,39
Lalit Yadav,40
M Jansen,41
M Markande,42
M Pathirana,43
M Prasidh Krishna,44
M Theekshana,45
MA Starc,46
MJ Santner,47
MM Ali,48
MM Sharma,49
MP Stoinis,50
Mohammed Shami,51
Mohammed Siraj,52
Mohsin Khan,53
Mukesh Choudhary,54
Mukesh Kumar,55
Mustafizur Rahman,56
N Thushara,57
NT Ellis,58
Noor Ahmad,59
OC McCoy,60
PJ Cummins,61
PP Chawla,62
PVD Chameera,63
PWH de Silva,64
R Ashwin,65
R Sai Kishore,66
RA Jadeja,67
RD Chahar,68
RP Meredith,69
Rashid Khan,70
Rasikh Salam,71
Ravi Bishnoi,72
SM Curran,73
SN Thakur,74
SP Narine,75
Sandeep Sharma,76
Shahbaz Ahmed,77
Shivam Mavi,78
Simarjeet Singh,79
Suyash Sharma,80
T Natarajan,81
TA Boult,82
TG Southee,83
TU Deshpande,84
UT Yadav,85
Umran Malik,86
VG Arora,87
Vijaykumar Vyshak,88
WG Jacks,89
Washington Sundar,90
YS Chahal,91
Yash Dayal,92
Yash Thakur,93
Zeeshan Ansari,94
