Original_Value,Encoded_Value
"Arun Jaitley Stadium, Delhi",0
"Barsapara Cricket Stadium, Guwahati",1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2
"Brabourne Stadium, Mumbai",3
"Dr DY Patil Sports Academy, Mumbai",4
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",5
Dubai International Cricket Stadium,6
"Eden Gardens, Kolkata",7
"Himachal Pradesh Cricket Association Stadium, Dharamsala",8
"M Chinnaswamy Stadium, Bengaluru",9
"MA Chidambaram Stadium, Chepauk, Chennai",10
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",11
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",12
"Maharashtra Cricket Association Stadium, Pune",13
"Narendra Modi Stadium, Ahmedabad",14
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",15
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",16
"Sawai Mansingh Stadium, Jaipur",17
Sharjah Cricket Stadium,18
"Wankhede Stadium, Mumbai",19
"Zayed Cricket Stadium, Abu Dhabi",20
nan,21
